prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_dis_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,distraction.started,image_dis.started,distraction.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.00904508299936424,0.013670999999703781,0.013670999999703781,1.5432110419997116,k,1.5073398340000494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.543262582999887,1.546406874999775,1.8457728329995007,1.8412938329993267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8413497499996083,1.8457728329995007,2.843919791999724,2.84140699999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.841451791999134,2.843919791999724,4.885269666999193,4.829425249999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
4,stimuli/dis_prompt_4.png,0,0,0,,,,,,,,0,0,0,3,,,,,4.885269666999193,,,,,,,,,,,,,,,,,,,,,4.883121874999233,4.885269666999193,9.847421916999338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
2,stimuli/dis_prompt_2.png,1,1,0,,,,,,,,0,1,1,1,,,,,9.900631291999161,,,,,,,,,,,,,,,,,,,,,9.897517791999235,9.900631291999161,14.84523608299969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
3,stimuli/dis_prompt_3.png,2,2,0,,,,,,,,0,2,2,2,,,,,14.899090457999591,,,,,,,,,,,,,,,,,,,,,14.896161624999877,14.899090457999591,19.845287041999654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
1,stimuli/dis_prompt_1.png,3,3,0,,,,,,,,0,3,3,0,,,,,19.89013495799918,,,,,,,,,,,,,,,,,,,,,19.88740399999915,19.89013495799918,24.848267666999163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.84834037499968,24.857989374999306,25.145435416999135,25.14262058299937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.142640707999817,25.145435416999135,25.145435416999135,41.578510374999496,k,16.425165333000223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.578675082999325,41.583591207999234,41.89433616699989,41.87732308299928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.87851554199915,41.89433616699989,41.89433616699989,41.89433616699989,43.52706558299997,None,None,2.0,l,1.6247358749997147,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52709208299984,43.53050141699987,43.82608720799999,43.81492574999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8149505829997,43.82608720799999,43.82608720799999,45.29505104199961,l,1.4649949160002507,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29509762499947,45.29842420799923,45.61677270799919,45.594276541999534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,0,0,0,是关于过去的事情,1,None,None,l,1.8030428749998464,None,,,,,0,0,0,0,45.61677270799919,,,,,,,,,47.42721187499956,47.42877083299936,47.72907241699977,47.71494187499957,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,45.60332729199945,45.61677270799919,45.61677270799919,45.61677270799919,45.61677270799919,47.42717445799917,None,None,l,1.8030428749998464,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,1,1,0,是关于将来的事情,2,None,None,k,0.5934450419999848,None,,,,,0,1,1,1,47.72907241699977,,,,,,,,,48.329448916999354,48.3313955829999,48.640652291999686,48.62765291699998,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,47.71872212499966,47.72907241699977,47.72907241699977,47.72907241699977,47.72907241699977,48.32941174999996,None,None,k,0.5934450419999848,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,2,2,0,是关于我自己的,3,None,None,k,0.6258454580001853,None,,,,,0,2,2,2,48.640652291999686,,,,,,,,,49.26828158299941,49.27619691699965,49.57365829199989,49.56103695799993,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,48.63196320799943,48.640652291999686,48.640652291999686,48.640652291999686,48.640652291999686,49.26824504199976,None,None,k,0.6258454580001853,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,3,3,0,是关于他人的,4,None,None,k,0.3960433339998417,None,,,,,0,3,3,3,49.57365829199989,,,,,,,,,49.97735116699914,49.979056874999515,50.27906229199925,50.264751875,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,49.56462379200002,49.57365829199989,49.57365829199989,49.57365829199989,49.57365829199989,49.977312624999286,None,None,k,0.3960433339998417,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,l,1.072827457999665,None,,,,,0,4,4,4,50.27906229199925,,,,,,,,,51.36083999999937,51.36245033299929,51.66768954199961,51.65364358299939,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,50.26990733299954,50.27906229199925,50.27906229199925,50.27906229199925,50.27906229199925,51.36080262499945,None,None,l,1.072827457999665,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,k,0.5826723339996533,None,,,,,0,5,5,5,51.66768954199961,,,,,,,,,52.251523499999166,52.259822999999415,52.56121329199959,52.54442287499933,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,51.658232249999855,51.66768954199961,51.66768954199961,51.66768954199961,51.66768954199961,52.25148279199948,None,None,k,0.5826723339996533,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,k,0.619642333000229,None,,,,,0,6,6,6,52.56121329199959,,,,,,,,,53.185657916999844,53.19294720799917,53.49224737499935,53.47810133299936,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,52.5513827499999,52.56121329199959,52.56121329199959,52.56121329199959,52.56121329199959,53.1856214999998,None,None,k,0.619642333000229,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,k,0.32069870800023637,None,,,,,0,7,7,7,53.49224737499935,,,,,,,,,53.819668457999796,53.826355041999705,54.125700082999174,54.11157733299933,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,53.48303854199912,53.49224737499935,53.49224737499935,53.49224737499935,53.49224737499935,53.819633707999856,None,None,k,0.32069870800023637,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,8,8,0,让我感到开心,9,None,None,l,0.27060037499995815,None,,,,,0,8,8,8,54.125700082999174,,,,,,,,,54.40314445799959,54.40983649999998,54.70901920799952,54.69480924999971,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,54.11619999999948,54.125700082999174,54.125700082999174,54.125700082999174,54.125700082999174,54.40311079200001,None,None,l,0.27060037499995815,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,9,9,0,让我感到悲伤,10,None,None,k,0.30272641699957603,None,,,,,0,9,9,9,54.70901920799952,,,,,,,,,55.019838416999846,55.02650833299958,55.313882791999276,55.311433124999894,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,54.69947154199963,54.70901920799952,54.70901920799952,54.70901920799952,54.70901920799952,55.019804166999165,None,None,k,0.30272641699957603,None,,,,,,,,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31150883299961,55.313882791999276,55.313882791999276,55.633692374999555,a,0.31758179200005543,None,999,001,2025-06-16_17h36.11.538,distraction_demo,2024.2.4,None,2025-06-16 17h36.16.548708 +0800,
