item,number,thisN,thisTrialN,thisRepN,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,rest_instruct.started,image_rest_instruct.started,key_resp.started,rest_instruct.stopped,key_resp.keys,key_resp.rt,key_resp.duration,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,resting.started,fixation.started,fixation.stopped,resting.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.010001708999880066,0.019111292000161484,0.019111292000161484,5.113810208999894,3,5.070312625000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,5.113850000000639,5.116461042000083,5.416172084000209,5.400286167000559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.401189459000307,5.416172084000209,5.416172084000209,5.416172084000209,7.633631959000013,None,None,7.0,3,2.2048697499994887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,7.633658542000376,7.644805875000202,7.944977000000108,7.9318330420001075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.931850916999792,7.944977000000108,7.944977000000108,11.898092459000509,3,3.938873791000333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,11.8981491250006,11.903132999999798,12.199768209000467,12.19700904199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.197042624999995,12.199768209000467,12.199768209000467,14.568420459000663,s,2.366865584000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.568470666999929,14.57872962500005,16.56737462500041,16.563673250000647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.563695709000058,16.56737462500041,18.568162999999913,18.565209000000323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,18.565241291999882,18.568162999999913,18.866837167000085,18.863833875000637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.863864917000683,18.866837167000085,18.866837167000085,21.215220666999812,4,2.345539082999494,None,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,21.215267125000537,21.217531625000447,21.526117250000425,21.51427320899984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5153075420003,21.526117250000425,21.526117250000425,21.526117250000425,23.739207084000554,None,None,5.0,3,2.2066832909995355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,23.739231209000536,23.745905000000675,24.045891458999904,24.032954709000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.032974708999973,24.045891458999904,24.045891458999904,25.298735500000475,4,1.2456495839996933,None,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,25.298773833999803,25.303535709000244,,25.600408625000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是关于过去的事情,1,0,0,0,None,None,3,1.0030936250004743,None,0,0,0,0,25.62361754199992,,,,,,,,,26.630981875000543,26.63280054200004,26.94631820900031,26.91725525000038,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.610597834000146,25.62361754199992,25.62361754199992,25.62361754199992,25.62361754199992,26.630940834000285,None,None,3,1.0030936250004743,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是关于将来的事情,2,1,1,0,None,None,3,1.1803377500000352,None,0,1,1,1,26.94631820900031,,,,,,,,,28.13090962500064,28.132220292000056,28.43227200000001,28.417908041999908,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92047408400049,26.94631820900031,26.94631820900031,26.94631820900031,26.94631820900031,28.130869917000382,None,None,3,1.1803377500000352,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是关于我自己的,3,2,2,0,None,None,4,0.9990095000002839,None,0,2,2,2,28.43227200000001,,,,,,,,,29.44015595900055,29.445786459000374,29.74627304200021,29.731404042000577,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42220379199989,28.43227200000001,28.43227200000001,28.43227200000001,28.43227200000001,29.44011495900031,None,None,4,0.9990095000002839,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是关于他人的,4,3,3,0,None,None,3,1.815449499999886,None,0,3,3,3,29.74627304200021,,,,,,,,,31.564732584000012,31.56634779200067,31.866174709000006,31.85190599999987,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.735957249999956,29.74627304200021,29.74627304200021,29.74627304200021,29.74627304200021,31.56469154200022,None,None,3,1.815449499999886,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是正性的、积极的事件,5,4,4,0,None,None,3,1.0329995840002084,None,0,4,4,4,31.866174709000006,,,,,,,,,32.906490709000536,32.913015459000235,33.21164654200038,33.19809516700025,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.85694466699988,31.866174709000006,31.866174709000006,31.866174709000006,31.866174709000006,32.90644983400034,None,None,3,1.0329995840002084,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是负性的、消极的事件,6,5,5,0,None,None,3,0.645073250000678,None,0,5,5,5,33.21164654200038,,,,,,,,,33.86432158400021,33.86597658400024,34.16798745899996,34.1517686670004,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20210025000051,33.21164654200038,33.21164654200038,33.21164654200038,33.21164654200038,33.86427187500067,None,None,3,0.645073250000678,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是以图像或意象的形式进行思维,7,6,6,0,None,None,3,0.6783024579999619,None,0,6,6,6,34.16798745899996,,,,,,,,,34.84796112500044,34.84961195899996,35.14950512500036,35.134824084000684,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15892766700017,34.16798745899996,34.16798745899996,34.16798745899996,34.16798745899996,34.847921874999884,None,None,3,0.6783024579999619,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
是以内部言语的形式进行思维,8,7,7,0,None,None,3,0.9122616660006315,None,0,7,7,7,35.14950512500036,,,,,,,,,36.06474958400031,36.06664075000026,36.3659755839999,36.35143958400022,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.139809709000474,35.14950512500036,35.14950512500036,35.14950512500036,35.14950512500036,36.064709250000305,None,None,3,0.9122616660006315,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
让我感到开心,9,8,8,0,None,None,3,1.1687426250000499,None,0,8,8,8,36.3659755839999,,,,,,,,,37.5400018750006,37.54662712500067,37.84506983400024,37.831759125000644,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.356114709000394,36.3659755839999,36.3659755839999,36.3659755839999,36.3659755839999,37.53996154200013,None,None,3,1.1687426250000499,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
让我感到悲伤,10,9,9,0,None,None,3,0.6629087089995664,None,0,9,9,9,37.84506983400024,,,,,,,,,38.51607508400048,38.517775459000404,38.81372499999998,38.801521417000004,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.83578745900013,37.84506983400024,37.84506983400024,37.84506983400024,37.84506983400024,38.5160357499999,None,None,3,0.6629087089995664,None,,,,999,001,2025-06-12_14h32.14.194,resting_state,2024.2.4,None,2025-06-12 14h32.20.422952 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.80161237500033,38.81372499999998,38.81372499999998,,,,,,,,
