prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotion_instruct.started,image_emotional_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.008809500000097614,0.013398458999972718,0.013398458999972718,3.4006677920001493,3,3.370800165999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.400712500000054,3.4098648750000393,3.701996167000061,3.698094292000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6981306669999867,3.701996167000061,3.701996167000061,4.704053208999994,s,1.0002157499998248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.704092959000036,4.71360883400007,6.756223542000043,6.698444250000193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
3,stimuli/rum_prompt_3.png,0,0,0,,,,,,,,0,0,0,2,,,,,6.756223542000043,,,,,,,,,,,,,,,,,,,,,,,,6.753516084000012,6.756223542000043,11.715987375000168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
1,stimuli/rum_prompt_1.png,1,1,0,,,,,,,,0,1,1,0,,,,,11.783497792000162,,,,,,,,,,,,,,,,,,,,,,,,11.781280417000062,11.783497792000162,16.706958792000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
2,stimuli/rum_prompt_2.png,2,2,0,,,,,,,,0,2,2,1,,,,,16.779396209000197,,,,,,,,,,,,,,,,,,,,,,,,16.77378591700017,16.779396209000197,21.709613250000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
4,stimuli/rum_prompt_4.png,3,3,0,,,,,,,,0,3,3,3,,,,,21.777377958999978,,,,,,,,,,,,,,,,,,,,,,,,21.771985500000028,21.777377958999978,26.706835542000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.706945000000132,26.715032917000144,27.0070128750001,27.00321000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.003245875000175,27.0070128750001,27.0070128750001,37.501450792000014,3,10.485580542000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50148791700008,37.50559779200012,37.8179419170001,37.80023608400006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.801190084000154,37.8179419170001,37.8179419170001,37.8179419170001,39.154047709,None,None,3.0,3,1.3224838330002058,None,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.154074834000085,39.16853654200008,39.46794900000009,39.4524577090001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.45248416700019,39.46794900000009,39.46794900000009,40.337381625000035,4,0.8569811669999581,None,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33742275000009,40.35049654199997,40.658386084000085,40.636951959000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,0,0,0,是关于过去的事情,1,None,None,3,0.8362472500000422,None,,,,,0,0,0,0,40.658386084000085,,,,,,,,,41.503064709,41.50489941700016,,41.80335104200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,40.64545183400014,40.658386084000085,40.658386084000085,40.658386084000085,40.658386084000085,41.503019584000185,None,None,3,0.8362472500000422,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,1,1,0,是关于将来的事情,2,None,None,3,0.560253375000002,None,,,,,0,1,1,1,41.83373387500001,,,,,,,,,42.40513129200008,42.41966541700003,42.734334042,42.70358170899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,41.806901874999994,41.83373387500001,41.83373387500001,41.83373387500001,41.83373387500001,42.40509129200018,None,None,3,0.560253375000002,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,2,2,0,是关于我自己的,3,None,None,3,0.7693990420000318,None,,,,,0,2,2,2,42.734334042,,,,,,,,,43.520188167000015,43.53527841699997,43.850476667000066,43.819681500000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,42.707672125000045,42.734334042,42.734334042,42.734334042,42.734334042,43.520151250000026,None,None,3,0.7693990420000318,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,3,3,0,是关于他人的,4,None,None,3,0.4945066660000066,None,,,,,0,3,3,3,43.850476667000066,,,,,,,,,44.35487416700016,44.366404209000166,44.683840459000066,44.65324687500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,43.82374066700004,43.850476667000066,43.850476667000066,43.850476667000066,43.850476667000066,44.35483716700014,None,None,3,0.4945066660000066,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,3,0.2917320829999426,None,,,,,0,4,4,4,44.683840459000066,,,,,,,,,44.98786437500007,45.00106333400004,45.31728991700015,45.2872137920001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,44.658094667000114,44.683840459000066,44.683840459000066,44.683840459000066,44.683840459000066,44.987826209000104,None,None,3,0.2917320829999426,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,3,0.7511873749999722,None,,,,,0,5,5,5,45.31728991700015,,,,,,,,,46.07021845899999,46.08489108399999,46.3861427920001,46.36951312500014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,45.29149875000007,45.31728991700015,45.31728991700015,45.31728991700015,45.31728991700015,46.07018229200003,None,None,3,0.7511873749999722,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,3,1.2728248330001861,None,,,,,0,6,6,6,46.3861427920001,,,,,,,,,47.67195258400011,47.68540616700011,47.98525925000013,47.970508792000146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,46.37648287500019,46.3861427920001,46.3861427920001,46.3861427920001,46.3861427920001,47.67191412500006,None,None,3,1.2728248330001861,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,3,0.42440120899982503,None,,,,,0,7,7,7,47.98525925000013,,,,,,,,,48.42166616700001,48.43545591700013,48.73491950000016,48.7212485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,47.97523212500005,47.98525925000013,47.98525925000013,47.98525925000013,47.98525925000013,48.42162879200009,None,None,3,0.42440120899982503,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,8,8,0,让我感到开心,9,None,None,3,0.6189939580001464,None,,,,,0,8,8,8,48.73491950000016,,,,,,,,,49.370496125000045,49.38319320900018,49.68523808400005,49.66977466700018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,48.72576724999999,48.73491950000016,48.73491950000016,48.73491950000016,48.73491950000016,49.370460459000014,None,None,3,0.6189939580001464,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,9,9,0,让我感到悲伤,10,None,None,3,0.6595785419999629,None,,,,,0,9,9,9,49.68523808400005,,,,,,,,,50.354633917,50.368279709000035,50.66788629200005,50.65360366699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,49.673558834000005,49.68523808400005,49.68523808400005,49.68523808400005,49.68523808400005,50.35459620900019,None,None,3,0.6595785419999629,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,10,10,0,有多少是在“走神”,11,None,None,3,0.38393487500002266,None,,,,,0,10,10,10,50.66788629200005,,,,,,,,,51.053839917000005,51.06869675000007,51.36899954199998,51.35382262500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,50.6590617920001,50.66788629200005,50.66788629200005,50.66788629200005,50.66788629200005,51.053805209000075,None,None,3,0.38393487500002266,None,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35389925000004,51.36899954199998,51.36899954199998,,,,,,,,
