prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.014019166000025507,0.04873020800005179,0.04873020800005179,6.120315000000005,k,6.067056332999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.120370374999993,6.125205916000027,6.435432791000039,6.419252750000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.419280916000048,6.435432791000039,7.42245575000004,7.419178833000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.419214207999971,7.42245575000004,9.47277804099997,9.407645207999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
2,stimuli/rum_prompt_2.png,0,0,0,,,,,,,,0,0,0,1,,,,,9.47277804099997,,,,,,,,,,,,,,,,,,,,,9.470638791000056,9.47277804099997,14.424576166000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
3,stimuli/rum_prompt_3.png,1,1,0,,,,,,,,0,1,1,2,,,,,14.481362875000059,,,,,,,,,,,,,,,,,,,,,14.478498833000003,14.481362875000059,19.423696790999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
1,stimuli/rum_prompt_1.png,2,2,0,,,,,,,,0,2,2,0,,,,,19.47718279100002,,,,,,,,,,,,,,,,,,,,,19.473990875000027,19.47718279100002,24.424273125000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
4,stimuli/rum_prompt_4.png,3,3,0,,,,,,,,0,3,3,3,,,,,24.477536500000042,,,,,,,,,,,,,,,,,,,,,24.474470833000055,24.477536500000042,29.42479424999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.424861958000065,29.435849250000047,29.748692957999992,29.720524458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72146791600005,29.748692957999992,29.748692957999992,29.748692957999992,32.012448250000034,None,None,3.0,l,2.258347833000016,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01247387500007,32.01920316600001,32.32760250000001,32.303922833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,0,0,0,是关于过去的事情,1,None,None,k,1.5533807499999739,None,,,,,0,0,0,0,32.32760250000001,,,,,,,,,33.88921141599997,33.89070216599998,34.189561791000074,34.17560637500003,,,,,,,,,,,,,,,,,,,7.0,,,,32.31493479100004,32.32760250000001,32.32760250000001,32.32760250000001,32.32760250000001,33.88917475000005,None,None,k,1.5533807499999739,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,1,1,0,是关于将来的事情,2,None,None,k,0.9516017500000089,None,,,,,0,1,1,1,34.189561791000074,,,,,,,,,35.14563858300005,35.152737125000044,35.45192216600003,35.437345583000024,,,,,,,,,,,,,,,,,,,3.0,,,,34.179018832999986,34.189561791000074,34.189561791000074,34.189561791000074,34.189561791000074,35.145600916000035,None,None,k,0.9516017500000089,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,2,2,0,是关于我自己的,3,None,None,l,0.6202305419999448,None,,,,,0,2,2,2,35.45192216600003,,,,,,,,,36.07879600000001,36.086087458000065,36.380654708000066,36.37086995800007,,,,,,,,,,,,,,,,,,,7.0,,,,35.44308775000002,35.45192216600003,35.45192216600003,35.45192216600003,35.45192216600003,36.078760541000065,None,None,l,0.6202305419999448,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,3,3,0,是关于他人的,4,None,None,k,0.7416299169999547,None,,,,,0,3,3,3,36.380654708000066,,,,,,,,,37.12933883300002,37.13615508300006,37.43533500000001,37.420742958000005,,,,,,,,,,,,,,,,,,,3.0,,,,36.373828125000045,36.380654708000066,36.380654708000066,36.380654708000066,36.380654708000066,37.12930195800004,None,None,k,0.7416299169999547,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,l,1.082420500000012,None,,,,,0,4,4,4,37.43533500000001,,,,,,,,,38.52116679100004,38.52381916600007,38.823091999999974,38.809280833,,,,,,,,,,,,,,,,,,,3.0,,,,37.42678537500001,37.43533500000001,37.43533500000001,37.43533500000001,37.43533500000001,38.52113116600003,None,None,l,1.082420500000012,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,l,0.5789957079999795,None,,,,,0,5,5,5,38.823091999999974,,,,,,,,,39.404127791000064,39.40727641600006,39.71617220799999,39.69341325000005,,,,,,,,,,,,,,,,,,,7.0,,,,38.814989291000074,38.823091999999974,38.823091999999974,38.823091999999974,38.823091999999974,39.40409199999999,None,None,l,0.5789957079999795,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,l,0.5695327920000182,None,,,,,0,6,6,6,39.71617220799999,,,,,,,,,40.288084000000026,40.291124291000074,40.59055004100003,40.575705416000005,,,,,,,,,,,,,,,,,,,3.0,,,,39.70386858300003,39.71617220799999,39.71617220799999,39.71617220799999,39.71617220799999,40.28804733300001,None,None,l,0.5695327920000182,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,l,0.8818779160000076,None,,,,,0,7,7,7,40.59055004100003,,,,,,,,,41.47928737500001,41.48649899999998,41.78463462499997,41.77128625,,,,,,,,,,,,,,,,,,,6.0,,,,40.581399041000054,40.59055004100003,40.59055004100003,40.59055004100003,40.59055004100003,41.47925062499996,None,None,l,0.8818779160000076,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,8,8,0,让我感到开心,9,None,None,l,0.4966028329999972,None,,,,,0,8,8,8,41.78463462499997,,,,,,,,,42.28965337500006,42.29096049999998,42.591997290999984,42.57572408300007,,,,,,,,,,,,,,,,,,,3.0,,,,41.77567895800007,41.78463462499997,41.78463462499997,41.78463462499997,41.78463462499997,42.28960479099999,None,None,l,0.4966028329999972,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,9,9,0,让我感到悲伤,10,None,None,k,0.6799118750000162,None,,,,,0,9,9,9,42.591997290999984,,,,,,,,,43.279832082999974,43.286559540999974,43.574504958000034,43.571404874999985,,,,,,,,,,,,,,,,,,,7.0,,,,42.57956545800005,42.591997290999984,42.591997290999984,42.591997290999984,42.591997290999984,43.279795124999964,None,None,k,0.6799118750000162,None,,,,,,,,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.57148354100002,43.574504958000034,43.574504958000034,44.38910874999999,s,0.8071052909999707,None,999,001,2025-06-16_16h05.03.148,rumination_demo,2024.2.4,60.33287153545997,2025-06-16 16h05.08.035162 +0800,
