event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_sad_memo_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,sad_memory.started,background.started,background.stopped,sad_memory.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instrct.started,emotion_instruct.stopped,key_resp_emotion_instrct.keys,key_resp_emotion_instrct.rt,key_resp_emotion_instrct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.011092333999840776,0.01588883400108898,0.01588883400108898,3.1435591250010475,4,3.107341874998383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1436347919989203,3.150835417000053,3.441435625001759,3.436555625001347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4365783339999325,3.441435625001759,3.441435625001759,4.88782320899918,s,1.4351001249997353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.887869000001956,4.8932233749983425,6.903150999998616,6.886532000000443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
1,争吵,None,None,None,0,0,0,,,,,,,,0,0,0,0,,,,,6.903150999998616,,,,,,,,,,,,,,,,,,,,,,,,6.898382209001284,6.903150999998616,8.90023308400123,8.887096750000637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
4,夏天,失望,放弃,分手,1,1,0,,,,,,,,0,1,1,3,,,,,8.90023308400123,,,,,,,,,,,,,,,,,,,,,,,,8.896804209001857,8.90023308400123,10.900368124999659,10.886812875000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
3,界线感,放下戒备,信任,None,2,2,0,,,,,,,,0,2,2,2,,,,,10.900368124999659,,,,,,,,,,,,,,,,,,,,,,,,10.89639845900092,10.900368124999659,12.898252334001882,12.887061375000485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
2,考验,逃避,None,None,3,3,0,,,,,,,,0,3,3,1,,,,,12.898252334001882,,,,,,,,,,,,,,,,,,,,,,,,12.894128874999296,12.898252334001882,14.889247041999624,14.887011709000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.887187584001367,14.889247041999624,15.18586787499953,15.174799749998783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.174820208998426,15.18586787499953,15.18586787499953,16.238227292000374,4,1.0458590000016557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.238307750001695,16.24300733400014,16.55371808400014,16.537342958999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53841937499965,16.55371808400014,16.55371808400014,16.55371808400014,17.9276511249991,None,None,7.0,3,1.3721087499980058,None,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.927678125000966,17.935643333999906,18.223639125000773,18.220780374998867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.220805249999103,18.223639125000773,18.223639125000773,19.07173587500074,4,0.8438758750016859,None,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.071785167001508,19.074163875000522,19.381558708999364,19.35788270899866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,0,0,0,是关于过去的事情,1,None,None,3,0.7800601249982719,None,,,,,0,0,0,0,19.381558708999364,,,,,,,,,20.170397958998365,20.171699458998773,20.472667583999282,20.458291541999643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,19.368444959000044,19.381558708999364,19.381558708999364,19.381558708999364,19.381558708999364,20.170359084000665,None,None,3,0.7800601249982719,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,1,1,0,是关于将来的事情,2,None,None,3,0.7237000829991302,None,,,,,0,1,1,1,20.472667583999282,,,,,,,,,21.203739959000814,21.204974249998486,21.507338167000853,21.491719749999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,20.462099833999673,20.472667583999282,20.472667583999282,20.472667583999282,20.472667583999282,21.203702250000788,None,None,3,0.7237000829991302,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,2,2,0,是关于我自己的,3,None,None,3,1.804908041998715,None,,,,,0,2,2,2,21.507338167000853,,,,,,,,,23.320659959001205,23.32247366700176,23.622534875001293,23.607708667001134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,21.495793375001085,21.507338167000853,21.507338167000853,21.507338167000853,21.507338167000853,23.32062283399864,None,None,3,1.804908041998715,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,3,3,0,是关于他人的,4,None,None,3,0.67980741700012,None,,,,,0,3,3,3,23.622534875001293,,,,,,,,,24.304095374998724,24.30651408400081,24.607124750000366,24.592934125001193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,23.611271624999063,23.622534875001293,23.622534875001293,23.622534875001293,23.622534875001293,24.30405854199853,None,None,3,0.67980741700012,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,4,4,0,是正性的、积极的事件,5,None,None,3,0.7749757089986815,None,,,,,0,4,4,4,24.607124750000366,,,,,,,,,25.38985354200122,25.391663709000568,25.70019137499912,25.68750304200148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,24.598516541998833,24.607124750000366,24.607124750000366,24.607124750000366,24.607124750000366,25.389817667000898,None,None,3,0.7749757089986815,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,5,5,0,是负性的、消极的事件,6,None,None,3,0.6726174589966831,None,,,,,0,5,5,5,25.70019137499912,,,,,,,,,26.37921875000029,26.386118083999463,26.686413458999596,26.670788833998813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,25.690973875000054,25.70019137499912,25.70019137499912,25.70019137499912,25.70019137499912,26.379182542001217,None,None,3,0.6726174589966831,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,6,6,0,是以图像或意象的形式进行思维,7,None,None,3,0.6750061659986386,None,,,,,0,6,6,6,26.686413458999596,,,,,,,,,27.370779333999963,27.372497917000146,27.673069625001517,27.65845470899876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,26.677462916999502,26.686413458999596,26.686413458999596,26.686413458999596,26.686413458999596,27.370741499998985,None,None,3,0.6750061659986386,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,7,7,0,是以内部言语的形式进行思维,8,None,None,3,0.5172177089989418,None,,,,,0,7,7,7,27.673069625001517,,,,,,,,,28.19611570900088,28.202852334001363,28.50065929199991,28.487823542000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,27.66238354199959,27.673069625001517,27.673069625001517,27.673069625001517,27.673069625001517,28.196079042001656,None,None,3,0.5172177089989418,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,8,8,0,让我感到开心,9,None,None,3,0.4961748749992694,None,,,,,0,8,8,8,28.50065929199991,,,,,,,,,29.007663833999686,29.00954904199898,29.317657250001503,29.304384292001487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,28.491595333998703,28.50065929199991,28.50065929199991,28.50065929199991,28.50065929199991,29.00762658399981,None,None,3,0.4961748749992694,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,9,9,0,让我感到悲伤,10,None,None,3,1.1186468329979107,None,,,,,0,9,9,9,29.317657250001503,,,,,,,,,30.437747500000114,30.439329666998674,30.73921179199897,30.72470987500128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,29.308330125000793,29.317657250001503,29.317657250001503,29.317657250001503,29.317657250001503,30.437709417001315,None,None,3,1.1186468329979107,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,10,10,0,有多少是在“走神”,11,None,None,3,2.6829273750008724,None,,,,,0,10,10,10,30.73921179199897,,,,,,,,,33.429729292001866,33.43656220900084,33.723931333999644,33.721471959001065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,30.730610499998875,30.73921179199897,30.73921179199897,30.73921179199897,30.73921179199897,33.4296909170007,None,None,3,2.6829273750008724,None,,,,Sub999,001,2025-06-13_17h06.06.574,sad_memory,2024.2.4,None,2025-06-13 17h06.14.273968 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72154791700086,33.723931333999644,33.723931333999644,,,,,,,,
